species	clade	island	latitude	longitude	elevation.m	svl.mm
A.armouri	cybotes	Hispaniola	18.3908	-71.8614	887	65.495
A.armouri	cybotes	Hispaniola	18.3908	-71.8614	887	63.43
A.armouri	cybotes	Hispaniola	18.3294	-71.7925	1712	63.335
A.armouri	cybotes	Hispaniola	18.3294	-71.7925	1712	63.165
A.armouri	cybotes	Hispaniola	18.3908	-71.8614	887	62.23
A.armouri	cybotes	Hispaniola	18.3294	-71.7925	1712	62.225
A.armouri	cybotes	Hispaniola	18.3294	-71.7925	1712	61.97
A.armouri	cybotes	Hispaniola	18.3908	-71.8614	887	61.845
A.armouri	cybotes	Hispaniola	18.3908	-71.8614	887	61.44
A.armouri	cybotes	Hispaniola	18.3167	-71.9333	1805	60.3
A.armouri	cybotes	Hispaniola	18.3667	-71.9833	2122	59.255
A.armouri	cybotes	Hispaniola	18.3167	-71.9333	1805	58.06
A.armouri	cybotes	Hispaniola	18.3167	-71.9333	1805	57.56
A.armouri	cybotes	Hispaniola	18.3167	-71.9333	1805	57.23
A.armouri	cybotes	Hispaniola	18.3294	-71.7925	1712	56.94
A.armouri	cybotes	Hispaniola	18.3294	-71.7925	1712	56.845
A.armouri	cybotes	Hispaniola	18.35	-72.2667	2087	56.46
A.armouri	cybotes	Hispaniola	18.3908	-71.8614	887	55.18
A.armouri	cybotes	Hispaniola	18.3908	-71.8614	887	54.98
A.armouri	cybotes	Hispaniola	18.3908	-71.8614	887	54.465
A.armouri	cybotes	Hispaniola	18.3908	-71.8614	887	54.375
A.armouri	cybotes	Hispaniola	18.3167	-71.9333	1805	54.05
A.armouri	cybotes	Hispaniola	18.3167	-71.9333	1805	53.19
A.armouri	cybotes	Hispaniola	18.3908	-71.8614	887	52.585
A.armouri	cybotes	Hispaniola	18.8897	-72.4003	1323	52.5
A.armouri	cybotes	Hispaniola	18.3667	-71.9833	2122	50.015
A.armouri	cybotes	Hispaniola	18.35	-72.2667	2087	49.86
A.armouri	cybotes	Hispaniola	18.3908	-71.8614	887	47.885
A.armouri	cybotes	Hispaniola	18.3167	-71.9333	1805	45.85
A.cybotes	cybotes	Hispaniola	18.6503	-72.0906	40	73.495
A.cybotes	cybotes	Hispaniola	18.2347	-71.8444	854	73.365
A.cybotes	cybotes	Hispaniola	19.3017	-72.6061	9	72.335
A.cybotes	cybotes	Hispaniola	19.5256	-72.2392	451	71.87
A.cybotes	cybotes	Hispaniola	18.5933	-72.2806	34	71.32
A.cybotes	cybotes	Hispaniola	18.4667	-74	717	71
A.cybotes	cybotes	Hispaniola	18.9833	-72.1	579	70.555
A.cybotes	cybotes	Hispaniola	17.99	-71.1706	53	70.21
A.cybotes	cybotes	Hispaniola	18.0972	-71.2197	1081	70.15
A.cybotes	cybotes	Hispaniola	19.6833	-72.2667	15	69.59
A.cybotes	cybotes	Hispaniola	18.5186	-72.6458	5	69.305
A.cybotes	cybotes	Hispaniola	19.1511	-72.6081	19	69.225
A.cybotes	cybotes	Hispaniola	18.5933	-72.2806	34	69.19
A.cybotes	cybotes	Hispaniola	19.7031	-72.4011	33	69.1
A.cybotes	cybotes	Hispaniola	18.5403	-72.5208	62	68.77
A.cybotes	cybotes	Hispaniola	19.6833	-72.2667	15	68.075
A.cybotes	cybotes	Hispaniola	18.2344	-72.3783	59	67.665
A.cybotes	cybotes	Hispaniola	19.5256	-72.2392	451	67.645
