iter	posterior	log.lik	prior mean	prior var	mean.bm.sig	mean.bm.the	var.ou.sv	var.ou.sig	var.ou.the0	var.ou.the1	Anolis_ahli_m	Anolis_allogus_m	Anolis_armouri_m	Anolis_cybotes_m	Anolis_homolechis_m	Anolis_jubar_m	Anolis_longitibialis_m	Anolis_marcanoi_m	Anolis_mestrei_m	Anolis_ophiolepis_m	Anolis_quadriocellifer_m	Anolis_rubribarbus_m	Anolis_sagrei_m	Anolis_shrevei_m	Anolis_strahmi_m	Anolis_whitemani_m	Anolis_ahli_v	Anolis_allogus_v	Anolis_armouri_v	Anolis_cybotes_v	Anolis_homolechis_v	Anolis_jubar_v	Anolis_longitibialis_v	Anolis_marcanoi_v	Anolis_mestrei_v	Anolis_ophiolepis_v	Anolis_quadriocellifer_v	Anolis_rubribarbus_v	Anolis_sagrei_v	Anolis_shrevei_v	Anolis_strahmi_v	Anolis_whitemani_v	acc	temperature 
10	-3437.0307738983	-3361.73686916589	-52.5239439475616	-18.6925031093637	2.78811672946904	51.4537356538368	0.786996404454112	4.19752025261032	3.42315859945615	3.04411742242543	49.8127777777778	52.6209375	56.9903448275862	58.7746	50.134197761194	49.5834444444444	68.1144230769231	55.05875	47.1576923076923	34.7126923076923	45.031	54.966875	50.1287378640777	51.175	65.296875	56.3357142857143	27.2812694444445	31.7794075328947	25.8149677339901	48.70231890301	20.187161807186	12.386505479798	15.9301566538461	18.7027753205128	40.4498150641026	5.3254733974359	14.0302925	20.5973929166667	19.6150847407057	10.58635625	55.2405495833333	24.5111785714286	0.5	1 
20	-3433.9570514986	-3361.73686916589	-52.4614822651815	-15.5720953557214	2.78811672946904	53.6289071590082	1.72515617776679	2.80905884692039	3.36111068552756	3.26721658710496	49.8127777777778	52.6209375	56.9903448275862	58.7746	50.134197761194	49.5834444444444	68.1144230769231	55.05875	47.1576923076923	34.7126923076923	45.031	54.966875	50.1287378640777	51.175	65.296875	56.3357142857143	27.2812694444445	31.7794075328947	25.8149677339901	48.70231890301	20.187161807186	12.386505479798	15.9301566538461	18.7027753205128	40.4498150641026	5.3254733974359	14.0302925	20.5973929166667	19.6150847407057	10.58635625	55.2405495833333	24.5111785714286	0.6	1 
30	-3434.20140781288	-3362.24128926321	-52.5408245159586	-15.1721831163746	2.78811672946904	53.6289071590082	2.13403590146445	3.61407613648382	3.36111068552756	3.26721658710496	49.8127777777778	52.6209375	56.9903448275862	58.7746	50.134197761194	49.5834444444444	68.1144230769231	55.05875	46.2708746213427	34.7126923076923	45.031	54.966875	50.1287378640777	51.175	65.296875	54.9059496772015	27.2812694444445	31.7794075328947	25.8149677339901	48.70231890301	20.187161807186	12.386505479798	15.9301566538461	18.7027753205128	43.1171843635426	5.3254733974359	14.0302925	20.5973929166667	19.6150847407057	10.58635625	55.2405495833333	27.7450219580361	0.533333333333333	1 
40	-3434.29337495202	-3362.24128926321	-52.5408245159586	-15.2851685358486	2.78811672946904	53.6289071590082	1.99534566120748	5.37512587919846	3.31955665140956	3.26721658710496	49.8127777777778	52.6209375	56.9903448275862	58.7746	50.134197761194	49.5834444444444	68.1144230769231	55.05875	46.2708746213427	34.7126923076923	45.031	54.966875	50.1287378640777	51.175	65.296875	54.9059496772015	27.2812694444445	31.7794075328947	25.8149677339901	48.70231890301	20.187161807186	12.386505479798	15.9301566538461	18.7027753205128	43.1171843635426	5.3254733974359	14.0302925	20.5973929166667	19.6150847407057	10.58635625	55.2405495833333	27.7450219580361	0.475	1 
50	-3433.1466972653	-3362.47080551199	-51.8840547929936	-14.6713431005142	2.12411798939663	53.4974337485508	1.99534566120748	7.12233971849368	3.13041343951063	2.99400474333283	49.8127777777778	52.6209375	56.9903448275862	58.7746	50.134197761194	49.5834444444444	68.1144230769231	55.05875	46.2708746213427	34.7126923076923	45.031	54.5890735002994	50.1287378640777	51.175	65.296875	54.9059496772015	27.2812694444445	31.7794075328947	25.8149677339901	48.70231890301	20.187161807186	12.386505479798	15.9301566538461	18.7027753205128	43.1171843635426	5.3254733974359	14.0302925	24.3426902634093	19.6150847407057	10.58635625	55.2405495833333	27.7450219580361	0.52	1 
60	-3432.70789987011	-3362.4662906362	-51.9246844146298	-14.0663205245481	2.12411798939663	53.7134505362223	2.81861135434638	7.12233971849368	3.12058508607473	2.99400474333283	49.4982634745743	52.6209375	56.9903448275862	58.7746	50.134197761194	49.5834444444444	68.1144230769231	55.05875	46.2708746213427	34.7126923076923	45.031	54.5890735002994	50.1287378640777	51.175	65.296875	54.9059496772015	23.0228360635466	31.7794075328947	25.8149677339901	48.70231890301	20.187161807186	12.386505479798	15.9301566538461	18.7027753205128	43.1171843635426	5.3254733974359	14.0302925	24.3426902634093	19.6150847407057	10.58635625	55.2405495833333	27.7450219580361	0.5	1 
70	-3432.70662933897	-3362.4662906362	-51.9234138049327	-14.0663206030988	2.12411798939663	53.5502049510265	2.81861135434638	4.56629917290455	3.24774674821324	2.99400474333283	49.4982634745743	52.6209375	56.9903448275862	58.7746	50.134197761194	49.5834444444444	68.1144230769231	55.05875	46.2708746213427	34.7126923076923	45.031	54.5890735002994	50.1287378640777	51.175	65.296875	54.9059496772015	23.0228360635466	31.7794075328947	25.8149677339901	48.70231890301	20.187161807186	12.386505479798	15.9301566538461	18.7027753205128	43.1171843635426	5.3254733974359	14.0302925	24.3426902634093	19.6150847407057	10.58635625	55.2405495833333	27.7450219580361	0.5	1 
80	-3432.68883362077	-3362.4662906362	-52.0538721486828	-14.0178593123891	1.4258652010886	55.1691140210064	2.81861135434638	4.56629917290455	3.71711035459864	3.01499786118531	49.4982634745743	52.6209375	56.9903448275862	58.7746	50.134197761194	49.5834444444444	68.1144230769231	55.05875	46.2708746213427	34.7126923076923	45.031	54.5890735002994	50.1287378640777	51.175	65.296875	54.9059496772015	23.0228360635466	31.7794075328947	25.8149677339901	48.70231890301	20.187161807186	12.386505479798	15.9301566538461	18.7027753205128	43.1171843635426	5.3254733974359	14.0302925	24.3426902634093	19.6150847407057	10.58635625	55.2405495833333	27.7450219580361	0.5125	1 
90	-3433.50635144455	-3362.4662906362	-52.0538721486828	-14.8353771361651	1.4258652010886	55.1691140210064	2.81861135434638	4.56629917290455	3.57976726994804	3.25039637641976	49.4982634745743	52.6209375	56.9903448275862	58.7746	50.134197761194	49.5834444444444	68.1144230769231	55.05875	46.2708746213427	34.7126923076923	45.031	54.5890735002994	50.1287378640777	51.175	65.296875	54.9059496772015	23.0228360635466	31.7794075328947	25.8149677339901	48.70231890301	20.187161807186	12.386505479798	15.9301566538461	18.7027753205128	43.1171843635426	5.3254733974359	14.0302925	24.3426902634093	19.6150847407057	10.58635625	55.2405495833333	27.7450219580361	0.477777777777778	1 
100	-3436.55860064599	-3362.4662906362	-52.0538721486828	-18.1062773711057	1.4258652010886	55.1691140210064	1.36154351598382	4.56629917290455	3.71204852828348	3.5068107844622	49.4982634745743	52.6209375	56.9903448275862	58.7746	50.134197761194	49.5834444444444	68.1144230769231	55.05875	46.2708746213427	34.7126923076923	45.031	54.5890735002994	50.1287378640777	51.175	65.296875	54.9059496772015	23.0228360635466	31.7794075328947	25.8149677339901	48.70231890301	20.187161807186	12.386505479798	15.9301566538461	18.7027753205128	43.1171843635426	5.3254733974359	14.0302925	24.3426902634093	19.6150847407057	10.58635625	55.2405495833333	27.7450219580361	0.48	1 
110	-3435.29829886819	-3363.04944894787	-51.8641984274614	-16.4524910028575	1.4258652010886	55.1691140210064	1.36154351598382	4.83971511666246	3.63541085487908	3.24424233555613	49.4982634745743	52.6209375	56.9903448275862	58.7746	50.134197761194	49.5834444444444	67.5138570021151	55.05875	46.2708746213427	34.7126923076923	45.031	54.5890735002994	50.1287378640777	51.175	65.296875	54.9059496772015	23.0228360635466	31.7794075328947	25.8149677339901	48.70231890301	20.187161807186	12.386505479798	12.7823714245223	18.7027753205128	43.1171843635426	5.3254733974359	14.0302925	24.3426902634093	19.6150847407057	10.58635625	55.2405495833333	27.7450219580361	0.472727272727273	1 
120	-3433.49314184776	-3364.0887886364	-51.3298582732298	-14.02077832442	1.4258652010886	51.8508418705616	2.2119524253041	4.83971511666246	3.7637894145398	2.95889654874534	49.4982634745743	52.6209375	56.9903448275862	58.7746	50.134197761194	49.5834444444444	67.5138570021151	55.05875	46.2708746213427	35.611040003209	45.031	54.5890735002994	50.1287378640777	51.175	65.296875	54.9059496772015	23.0228360635466	31.7794075328947	25.8149677339901	48.70231890301	20.187161807186	12.386505479798	12.7823714245223	18.7027753205128	43.1171843635426	6.66333947033623	14.0302925	24.3426902634093	19.6150847407057	10.58635625	55.2405495833333	27.7450219580361	0.483333333333333	1 
130	-3434.10341390186	-3364.82162092958	-51.2962069880719	-13.9318693705	1.4258652010886	51.8508418705616	2.2119524253041	6.70706131355941	4.01843084981003	2.95889654874534	49.4982634745743	52.0245700459681	56.9903448275862	58.7746	50.134197761194	49.5834444444444	67.5138570021151	55.05875	46.2708746213427	35.611040003209	45.031	54.5890735002994	50.1287378640777	51.175	65.296875	54.9059496772015	23.0228360635466	29.0971347689502	25.8149677339901	48.70231890301	20.187161807186	12.386505479798	12.7823714245223	18.7027753205128	43.1171843635426	6.66333947033623	14.0302925	24.3426902634093	19.6150847407057	10.58635625	55.2405495833333	27.7450219580361	0.469230769230769	1 
